生效日期,S&P 500
2022/9/1,3966.85
2022/9/2,3924.26
2022/9/6,3908.19
2022/9/7,3979.87
2022/9/8,4006.18
2022/9/9,4067.36
2022/9/12,4110.41
2022/9/13,3932.69
2022/9/14,3946.01
2022/9/15,3901.35
2022/9/16,3873.33
2022/9/19,3899.89
2022/9/20,3855.93
2022/9/21,3789.93
2022/9/22,3757.99
2022/9/23,3693.23
2022/9/26,3655.04
2022/9/27,3647.29
2022/9/28,3719.04
2022/9/29,3640.47
2022/9/30,3585.62
2022/10/3,3678.43
2022/10/4,3790.93
2022/10/5,3783.28
2022/10/6,3744.52
2022/10/7,3639.66
2022/10/10,3612.39
2022/10/11,3588.84
2022/10/12,3577.03
2022/10/13,3669.91
2022/10/14,3583.07
2022/10/17,3677.95
2022/10/18,3719.98
2022/10/19,3695.16
2022/10/20,3665.78
2022/10/21,3752.75
2022/10/24,3797.34
2022/10/25,3859.11
2022/10/26,3830.6
2022/10/27,3807.3
2022/10/28,3901.06
2022/10/31,3871.98
2022/11/1,3856.1
2022/11/2,3759.69
2022/11/3,3719.89
2022/11/4,3770.55
2022/11/7,3806.8
2022/11/8,3828.11
2022/11/9,3748.57
2022/11/10,3956.37
2022/11/11,3992.93
2022/11/14,3957.25
2022/11/15,3991.73
2022/11/16,3958.79
2022/11/17,3946.56
2022/11/18,3965.34
2022/11/21,3949.94
2022/11/22,4003.58
2022/11/23,4027.26
2022/11/25,4026.12
2022/11/28,3963.94
2022/11/29,3957.63
2022/11/30,4080.11
2022/12/1,4076.57
2022/12/2,4071.7
2022/12/5,3998.84
2022/12/6,3941.26
2022/12/7,3933.92
2022/12/8,3963.51
2022/12/9,3934.38
2022/12/12,3990.56
2022/12/13,4019.65
2022/12/14,3995.32
2022/12/15,3895.75
2022/12/16,3852.36
2022/12/19,3817.66
2022/12/20,3821.62
2022/12/21,3878.44
2022/12/22,3822.39
2022/12/23,3844.82
2022/12/27,3829.25
2022/12/28,3783.22
2022/12/29,3849.28
2022/12/30,3839.5
2023/1/3,3824.14
2023/1/4,3852.97
2023/1/5,3808.1
2023/1/6,3895.08
2023/1/9,3892.09
2023/1/10,3919.25
2023/1/11,3969.61
2023/1/12,3983.17
2023/1/13,3999.09
2023/1/17,3990.97
2023/1/18,3928.86
2023/1/19,3898.85
2023/1/20,3972.61
2023/1/23,4019.81
2023/1/24,4016.95
2023/1/25,4016.22
2023/1/26,4060.43
2023/1/27,4070.56
2023/1/30,4017.77
2023/1/31,4076.6
2023/2/1,4119.21
2023/2/2,4179.76
2023/2/3,4136.48
2023/2/6,4111.08
2023/2/7,4164
2023/2/8,4117.86
2023/2/9,4081.5
2023/2/10,4090.46
2023/2/13,4137.29
2023/2/14,4136.13
2023/2/15,4147.6
2023/2/16,4090.41
2023/2/17,4079.09
2023/2/21,3997.34
2023/2/22,3991.05
2023/2/23,4012.32
2023/2/24,3970.04
2023/2/27,3982.24
2023/2/28,3970.15
2023/3/1,3951.39
2023/3/2,3981.35
2023/3/3,4045.64
2023/3/6,4048.42
2023/3/7,3986.37
2023/3/8,3992.01
2023/3/9,3918.32
2023/3/10,3861.59
2023/3/13,3855.76
2023/3/14,3919.29
2023/3/15,3891.93
2023/3/16,3960.28
2023/3/17,3916.64
2023/3/20,3951.57
2023/3/21,4002.87
2023/3/22,3936.97
2023/3/23,3948.72
2023/3/24,3970.99
2023/3/27,3977.53
2023/3/28,3971.27
2023/3/29,4027.81
2023/3/30,4050.83
2023/3/31,4109.31
2023/4/3,4124.51
2023/4/4,4100.6
2023/4/5,4090.38
2023/4/6,4105.02
2023/4/10,4109.11
2023/4/11,4108.94
2023/4/12,4091.95
2023/4/13,4146.22
2023/4/14,4137.64
2023/4/17,4151.32
2023/4/18,4154.87
2023/4/19,4154.52
2023/4/20,4129.79
2023/4/21,4133.52
2023/4/24,4137.04
2023/4/25,4071.63
2023/4/26,4055.99
2023/4/27,4135.35
2023/4/28,4169.48
2023/5/1,4167.87
2023/5/2,4119.58
2023/5/3,4090.75
2023/5/4,4061.22
2023/5/5,4136.25
2023/5/8,4138.12
2023/5/9,4119.17
2023/5/10,4137.64
2023/5/11,4130.62
2023/5/12,4124.08
2023/5/15,4136.28
2023/5/16,4109.9
2023/5/17,4158.77
2023/5/18,4198.05
2023/5/19,4191.98
2023/5/22,4192.63
2023/5/23,4145.58
2023/5/24,4115.24
2023/5/25,4151.28
2023/5/26,4205.45
2023/5/30,4205.52
2023/5/31,4179.83
2023/6/1,4221.02
2023/6/2,4282.37
2023/6/5,4273.79
2023/6/6,4283.85
2023/6/7,4267.52
2023/6/8,4293.93
2023/6/9,4298.86
2023/6/12,4338.93
2023/6/13,4369.01
2023/6/14,4372.59
2023/6/15,4425.84
2023/6/16,4409.59
2023/6/20,4388.71
2023/6/21,4365.69
2023/6/22,4381.89
2023/6/23,4348.33
2023/6/26,4328.82
2023/6/27,4378.41
2023/6/28,4376.86
2023/6/29,4396.44
2023/6/30,4450.38
2023/7/3,4455.59
2023/7/5,4446.82
2023/7/6,4411.59
2023/7/7,4398.95
2023/7/10,4409.53
2023/7/11,4439.26
2023/7/12,4472.16
2023/7/13,4510.04
2023/7/14,4505.42
2023/7/17,4522.79
2023/7/18,4554.98
2023/7/19,4565.72
2023/7/20,4534.87
2023/7/21,4536.34
2023/7/24,4554.64
2023/7/25,4567.46
2023/7/26,4566.75
2023/7/27,4537.41
2023/7/28,4582.23
2023/7/31,4588.96
2023/8/1,4576.73
2023/8/2,4513.39
2023/8/3,4501.89
2023/8/4,4478.03
2023/8/7,4518.44
2023/8/8,4499.38
2023/8/9,4467.71
2023/8/10,4468.83
2023/8/11,4464.05
2023/8/14,4489.72
2023/8/15,4437.86
2023/8/16,4404.33
2023/8/17,4370.36
2023/8/18,4369.71
2023/8/21,4399.77
2023/8/22,4387.55
2023/8/23,4436.01
2023/8/24,4376.31
2023/8/25,4405.71
2023/8/28,4433.31
2023/8/29,4497.63
2023/8/30,4514.87
2023/8/31,4507.66
2023/9/1,4515.77
